,epa_registration_number,product_name,qtty_used_units,date_of_application,county_code,address,municipality,zip_code,rate,place,qtty_used,units
0,062719-00324,Accord Concentrate,2700 ML,7/20/2018,58,225th street and 149th ave,Springfield Gardens,11413,6%,Pelham Bay Park,2700,ML
1,062719-00556,Accord XRT II,1000 ML,8/22/2018,58,225th street and 149th ave,Springfield Gardens,11413,5%,Pelham Bay Park,1000,ML
2,062719-00324,Rodeo,1500 ML,9/14/2018,61,Park Dr and City Island Rd,Bronx,10465,2%,Idlewild Park,1500,ML
3,062719-00324,Rodeo,1000 ML,9/21/2018,61,Park Dr and City Island Rd,Bronx,10464,2%,Idlewild Park,1000,ML
4,062719-00324,Rodeo,1500 ML,9/24/2018,61,225th street and 149th ave,Springfield Gardens,11413,2%,Idlewild Park,1500,ML
5,062719-00324,Rodeo,800 ML,10/1/2018,61,Park Dr and City Island Rd,Bronx,10464,2%,Idlewild Park,800,ML
6,062719-00324,Rodeo,400 ML,10/3/2018,61,Park Dr and City Island Rd,Bronx,10464,2%,Idlewild Park,400,ML
7,062719-00324,Rodeo,400 ML,10/4/2018,61,Park Dr and City Island Rd,Bronx,10464,2%,Idlewild Park,400,ML
8,062719-00324,Rodeo,300 ML,10/5/2018,61,225th street and 149th ave,Springfield Gardens,11413,2%,Idlewild Park,300,ML
9,062719-00556,Accord XRT II,400 ML,4/17/2018,62,225th street and 149th ave,Springfield Gardens,11413,2%,Wolfe's Pond Park,400,ML
10,062719-00556,Accord XRT II,800 ML,4/18/2018,62,Spaulding Lane & Palisades Ave,Bronx,10463,2%,Wolfe's Pond Park,800,ML
11,062719-00556,Accord XRT II,700 ML,4/20/2018,62,Palisade Ave & 232nd ST,Bronx,10471,2%,Wolfe's Pond Park,700,ML
12,062719-00556,Accord XRT II,600 ML,5/1/2018,62,Palisade Ave & 232nd ST,Bronx,10471,2%,Clove Lakes Park,600,ML
